Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Browns,626,393,62.8,7,4125,21,17,83.4,216,34.5,51,8,67,37,2018
Bengals,584,389,66.6,7.9,4414,32,12,100,221,37.8,60,13,72T,34,2018
Bears,615,377,61.3,6.3,3515,22,27,72.9,186,30.2,39,9,75T,50,2018
Panthers,529,353,66.7,7.7,3847,32,13,99.6,185,35,51,12,75T,35,2018
Bills,492,313,63.6,6.3,2867,22,16,82.6,157,31.9,36,2,43,36,2018
Ravens,577,337,58.4,6.3,3360,21,12,80.6,174,30.2,44,7,64,43,2018
Falcons,585,398,68,7.5,4153,33,15,98.3,226,38.6,46,7,58,37,2018
Redskins,540,371,68.7,7.6,3823,35,13,102.5,200,37,56,9,53T,46,2019
Buccaneers,664,408,61.4,7,4322,30,12,90,222,33.4,57,14,75T,47,2019
Seahawks,598,383,64,7.4,4223,19,16,85.6,224,37.5,53,6,58T,28,2019
49ers,519,318,61.3,5.9,2707,23,12,83,150,28.9,34,5,88T,48,2019
Chargers,464,328,70.7,7.3,3204,21,11,96.7,156,33.6,41,6,70T,30,2019
Steelers,514,314,61.1,6.7,3113,23,20,79.7,164,31.9,43,6,58T,54,2019
Cardinals,601,421,70,8,4510,38,7,109.9,243,40.4,72,7,57,40,2019
Eagles,571,348,60.9,7.2,3865,27,11,90.8,185,32.4,49,15,75T,43,2019
Jets,585,363,62.1,6.8,3779,25,12,88,187,32,51,7,89T,35,2019
Giants,556,369,66.4,8,4225,30,10,101.4,211,37.9,67,15,62,36,2019
Saints,603,371,61.5,7,3868,27,13,88.3,197,32.7,54,13,75T,51,2019
Patriots,536,303,56.5,6,2886,13,25,62.8,150,28,42,5,64T,47,2019
Vikings,601,394,65.6,6.8,3737,23,17,86.1,215,35.8,47,7,60T,48,2019
Dolphins,545,344,63.1,8,4198,39,13,101.9,214,39.3,68,6,83T,23,2019
Raiders,526,337,64.1,8.3,4107,33,9,103.8,201,38.2,68,16,91T,32,2019
Rams,562,348,61.9,7,3625,23,13,86.8,194,34.5,40,6,67T,50,2019
Chiefs,582,352,60.5,6.7,3543,21,16,80.8,190,32.6,46,7,69,45,2019
Jaguars,517,327,63.2,7.9,3778,22,10,93.9,193,37.3,60,12,84T,47,2019
Colts,562,394,70.1,7.5,3982,29,15,98,207,36.8,50,9,61T,41,2019
Texans,586,375,64,7.7,4276,33,12,97.6,220,37.5,58,12,65T,31,2019
Titans,598,386,64.5,7.3,4080,25,14,90.4,213,35.6,55,8,63T,43,2019
Packers,546,326,59.7,7.4,3721,19,17,81.1,191,35,56,15,66,41,2019
Lions,611,381,62.4,7.8,4551,33,7,99.6,232,38,72,10,66,28,2019
Broncos,537,348,64.8,7.1,3609,19,10,89.8,175,32.6,46,11,75,40,2019
Cowboys,569,370,65,6.8,3576,21,7,91.9,188,33,55,5,92T,39,2019
Browns,513,318,62,7.3,3470,25,14,89,184,35.9,48,8,75T,38,2019
Bengals,499,308,61.7,8.3,3917,25,11,95.4,183,36.7,70,12,79T,31,2019
Bears,571,362,63.4,6.6,3554,17,10,85.2,190,33.3,40,7,75T,32,2019
Panthers,544,347,63.8,7.3,3696,21,14,88,197,36.2,53,7,93T,53,2019
Bills,553,348,62.9,6.2,3123,15,14,78.8,169,30.6,34,4,61T,44,2019
Ravens,544,318,58.5,6.6,3315,15,13,77.5,163,30,47,9,83T,37,2019
Falcons,536,351,65.5,7.7,3918,28,12,96.9,192,35.8,56,9,71T,28,2019
